epoch,loss,psnr,ssim,ber,accuracy,mse,rmse,mae,nc,entropy,npcr,uaci
1,9.344191293155445,15.089140061771168,0.4941851447610294,0.48637803021599263,51.36219697840073,0.03782023643691312,0.1855626691014835,0.15776865591897685,0.7069172059788423,5.2553488890215965,99.99041389016544,15.776869
2,7.541660297618193,16.530975476433248,0.7434800091911765,0.38984339096966913,61.01566090303309,0.02781303193529739,0.15741397967429874,0.1372975799090722,0.7320104900528402,6.8495816780658405,99.99400419347427,13.729756
3,5.633701411415549,16.940116074505973,0.7779009650735295,0.18498858283547795,81.50114171645221,0.0262576256878674,0.15184227532868183,0.13341780348735696,0.8476520839859457,6.854896823705893,99.99238855698529,13.34178
4,4.897266797458424,17.089872248032513,0.7991498161764706,0.15262379365808823,84.73762063419117,0.02563319148167091,0.14992183622764396,0.1305052267277942,0.8765023722368128,6.852280686461252,99.99281939338235,13.050523
5,4.131905457552741,17.461045556909898,0.8191004136029412,0.12583941291360295,87.41605870863971,0.023672701333485105,0.14351834528691793,0.12531012121368856,0.900679752405952,6.8673087519821285,99.99346564797794,12.531014
6,3.765329567123862,17.599670600891113,0.8373391544117647,0.11683529124540441,88.31647087545956,0.023798795811393682,0.14298925196934117,0.12495994467069121,0.9106241850291982,6.899239666252839,99.99346564797794,12.495995
7,3.1776993765550503,17.93612065034754,0.8506950827205882,0.08745619829963236,91.25438017003677,0.023026687849093886,0.13887492727255746,0.12262009483049897,0.9335366999401765,6.896201286401757,99.99339384191177,12.262013
8,2.8056053834802963,18.2418893477496,0.8603228400735294,0.07206959443933823,92.79304055606617,0.022033338837654275,0.13523439288843309,0.11922556639594191,0.945872292097877,6.949901657313415,99.9920295266544,11.922556
9,2.9670498770826,18.163807835298424,0.8665153952205882,0.08963084501378676,91.03691549862133,0.021841548999552342,0.13533131390725042,0.11858327967279098,0.9337878276320065,6.875531223746319,99.99109604779412,11.858326
10,2.694139155219583,18.215446965834673,0.8714269301470589,0.07542760512408088,92.4572394875919,0.020997573947533966,0.13362705565663763,0.11731734047917759,0.9449081757489373,6.9181287644118825,99.9914191750919,11.731736
